LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO
00,1610612751,BKN,Brooklyn,34,12,6,5,14,4,1,18,10,17
00,1610612766,CHA,Charlotte,52,13,7,16,14,4,0,15,12,23
00,1610612739,CLE,Cleveland,34,9,6,3,1,1,1,16,8,21
00,1610612764,WAS,Washington,44,16,18,27,1,1,1,15,4,20
00,1610612754,IND,Indiana,32,13,13,10,9,3,0,14,17,13
00,1610612752,NYK,New York,36,17,4,13,9,3,0,15,10,21
00,1610612748,MIA,Miami,38,20,16,36,2,1,1,22,10,18
00,1610612753,ORL,Orlando,20,7,12,1,2,1,0,24,8,30
00,1610612761,TOR,Toronto,28,7,12,16,6,6,2,12,8,11
00,1610612755,PHI,Philadelphia,40,10,24,3,6,6,0,20,7,19
00,1610612737,ATL,Atlanta,50,5,10,13,11,8,1,22,13,13
00,1610612765,DET,Detroit,50,11,10,7,11,8,2,17,3,11
00,1610612757,POR,Portland,28,16,9,11,6,2,0,16,10,16
00,1610612749,MIL,Milwaukee,42,10,11,6,6,2,0,19,9,20
00,1610612746,LAC,Los Angeles,38,13,25,12,6,6,0,19,7,20
00,1610612750,MIN,Minnesota,42,13,15,7,6,6,1,15,14,20
00,1610612762,UTA,Utah,46,16,8,6,6,5,1,15,10,18
00,1610612740,NOP,New Orleans,54,23,14,14,6,5,0,12,11,12
00,1610612759,SAS,San Antonio,48,9,20,19,12,14,1,12,6,4
00,1610612738,BOS,Boston,36,13,8,7,12,14,0,17,5,25
00,1610612758,SAC,Sacramento,42,18,13,20,7,8,1,11,13,6
00,1610612756,PHX,Phoenix,36,16,20,5,7,8,0,17,11,20
00,1610612742,DAL,Dallas,36,5,18,3,2,1,1,16,7,20
00,1610612745,HOU,Houston,56,8,14,18,2,1,1,12,5,15
00,1610612763,MEM,Memphis,42,13,12,7,12,7,1,7,5,4
00,1610612744,GSW,Golden State,50,25,4,12,12,7,1,15,10,16
00,1610612746,LAC,Los Angeles,32,11,12,0,0,0,0,10,10,11
00,1610612760,OKC,Oklahoma City,58,9,13,15,0,0,0,17,10,11
00,1610612741,CHI,Chicago,50,24,7,2,3,12,1,18,6,15
00,1610612743,DEN,Denver,36,15,13,21,3,12,1,16,10,12
00,1610612766,CHA,Charlotte,48,10,15,7,1,2,2,18,10,17
00,1610612756,PHX,Phoenix,26,7,14,21,1,2,0,21,13,28
00,1610612749,MIL,Milwaukee,28,4,9,10,7,6,2,18,13,18
00,1610612755,PHI,Philadelphia,52,13,17,15,7,6,0,26,9,28
00,1610612761,TOR,Toronto,50,12,6,16,6,6,1,15,7,20
00,1610612764,WAS,Washington,32,9,19,6,6,6,1,15,8,16
00,1610612754,IND,Indiana,44,13,21,20,7,5,1,16,6,12
00,1610612738,BOS,Boston,36,8,10,8,7,5,2,23,4,30
00,1610612765,DET,Detroit,48,16,15,7,7,6,0,15,9,22
00,1610612737,ATL,Atlanta,44,16,15,11,7,6,1,15,4,18
00,1610612759,SAS,San Antonio,56,8,11,16,4,4,0,15,5,16
00,1610612763,MEM,Memphis,52,16,10,5,4,4,0,14,7,22
00,1610612751,BKN,Brooklyn,40,16,7,2,1,0,0,20,10,22
00,1610612750,MIN,Minnesota,42,22,17,37,1,0,0,8,9,5
00,1610612740,NOP,New Orleans,50,25,23,4,11,2,0,12,6,11
00,1610612739,CLE,Cleveland,48,8,2,12,11,2,1,20,10,21
00,1610612742,DAL,Dallas,54,20,12,28,1,0,1,17,10,22
00,1610612762,UTA,Utah,50,8,19,2,1,0,0,17,5,22
00,1610612741,CHI,Chicago,44,20,0,21,2,6,2,16,9,21
00,1610612757,POR,Portland,32,13,6,7,3,6,0,12,7,16
00,1610612744,GSW,Golden State,48,13,15,6,1,3,1,19,12,22
00,1610612747,LAL,Los Angeles,36,8,14,16,1,3,0,14,7,18
00,1610612746,LAC,Los Angeles,30,2,5,20,4,11,2,19,15,20
00,1610612758,SAC,Sacramento,46,19,2,5,4,11,1,11,12,6
00,1610612754,IND,Indiana,44,13,10,11,17,12,0,19,8,22
00,1610612755,PHI,Philadelphia,40,31,19,4,17,12,0,14,11,13
00,1610612752,NYK,New York,28,15,5,9,10,3,1,10,8,14
00,1610612764,WAS,Washington,32,10,16,10,10,3,2,14,6,14
00,1610612738,BOS,Boston,32,12,8,7,8,11,2,19,13,29
00,1610612737,ATL,Atlanta,44,16,11,12,8,11,1,9,7,6
00,1610612753,ORL,Orlando,30,13,7,16,6,6,1,17,6,13
00,1610612748,MIA,Miami,46,6,9,4,6,6,0,12,13,10
00,1610612750,MIN,Minnesota,52,19,23,0,0,0,0,10,2,15
00,1610612745,HOU,Houston,46,6,14,19,0,0,1,24,5,37
00,1610612749,MIL,Milwaukee,28,11,2,0,0,0,0,15,7,25
00,1610612766,CHA,Charlotte,48,15,18,28,0,0,2,16,13,18
00,1610612739,CLE,Cleveland,38,12,10,0,0,1,0,17,7,18
