GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0021200026,1610612763,Grizzlies,MEM,Memphis,240:00,0.494,0.442,0.144,0.205,0.513,0.213,0.195,0.289
0021200026,1610612744,Warriors,GSW,Golden State,240:00,0.513,0.213,0.195,0.2,0.494,0.442,0.144,0.295
0021200027,1610612764,Wizards,WAS,Washington,240:00,0.474,0.218,0.16,0.156,0.476,0.155,0.097,0.16
0021200027,1610612738,Celtics,BOS,Boston,240:00,0.476,0.155,0.097,0.12,0.474,0.218,0.16,0.244
0021200028,1610612758,Kings,SAC,Sacramento,290:00,0.402,0.196,0.144,0.239,0.414,0.273,0.211,0.459
0021200028,1610612754,Pacers,IND,Indiana,290:00,0.414,0.273,0.211,0.344,0.402,0.196,0.144,0.299
0021200029,1610612761,Raptors,TOR,Toronto,240:00,0.494,0.305,0.144,0.213,0.494,0.457,0.161,0.367
0021200029,1610612751,Nets,BKN,Brooklyn,240:00,0.494,0.457,0.161,0.184,0.494,0.305,0.144,0.234
0021200030,1610612748,Heat,MIA,Miami,240:00,0.578,0.325,0.083,0.167,0.542,0.211,0.149,0.46
0021200030,1610612743,Nuggets,DEN,Denver,240:00,0.542,0.211,0.149,0.36,0.578,0.325,0.083,0.19
0021200031,1610612740,Hornets,NOH,New Orleans,240:00,0.46,0.307,0.183,0.2,0.347,0.284,0.125,0.367
0021200031,1610612741,Bulls,CHI,Chicago,240:00,0.347,0.284,0.125,0.25,0.46,0.307,0.183,0.333
0021200032,1610612757,Trail Blazers,POR,Portland,265:00,0.473,0.129,0.153,0.179,0.38,0.188,0.17,0.318
0021200032,1610612745,Rockets,HOU,Houston,265:00,0.38,0.188,0.17,0.242,0.473,0.129,0.153,0.25
0021200033,1610612749,Bucks,MIL,Milwaukee,240:00,0.576,0.266,0.166,0.075,0.506,0.349,0.156,0.24
0021200033,1610612739,Cavaliers,CLE,Cleveland,240:00,0.506,0.349,0.156,0.18,0.576,0.266,0.166,0.125
0021200034,1610612742,Mavericks,DAL,Dallas,240:00,0.713,0.188,0.219,0.242,0.445,0.264,0.122,0.315
0021200034,1610612766,Bobcats,CHA,Charlotte,240:00,0.445,0.264,0.122,0.278,0.713,0.188,0.219,0.303
0021200035,1610612762,Jazz,UTA,Utah,240:00,0.526,0.286,0.18,0.22,0.615,0.311,0.189,0.294
0021200035,1610612759,Spurs,SAS,San Antonio,240:00,0.615,0.311,0.189,0.206,0.526,0.286,0.18,0.293
0021200036,1610612746,Clippers,LAC,Los Angeles,240:00,0.5,0.743,0.157,0.149,0.512,0.464,0.141,0.347
0021200036,1610612744,Warriors,GSW,Golden State,240:00,0.512,0.464,0.141,0.327,0.5,0.743,0.157,0.213
0021200037,1610612755,76ers,PHI,Philadelphia,240:00,0.481,0.127,0.197,0.222,0.578,0.234,0.163,0.256
0021200037,1610612752,Knicks,NYK,New York,240:00,0.578,0.234,0.163,0.186,0.481,0.127,0.197,0.244
0021200038,1610612761,Raptors,TOR,Toronto,240:00,0.5,0.189,0.119,0.32,0.5,0.484,0.256,0.359
0021200038,1610612750,Timberwolves,MIN,Minnesota,240:00,0.5,0.484,0.256,0.205,0.5,0.189,0.119,0.4
0021200039,1610612756,Suns,PHX,Phoenix,240:00,0.456,0.198,0.163,0.309,0.538,0.207,0.112,0.367
0021200039,1610612753,Magic,ORL,Orlando,240:00,0.538,0.207,0.112,0.265,0.456,0.198,0.163,0.364
0021200040,1610612760,Thunder,OKC,Oklahoma City,240:00,0.528,0.31,0.222,0.179,0.542,0.241,0.121,0.289
0021200040,1610612737,Hawks,ATL,Atlanta,240:00,0.542,0.241,0.121,0.267,0.528,0.31,0.222,0.282
0021200041,1610612747,Lakers,LAL,Los Angeles,240:00,0.584,0.338,0.172,0.39,0.38,0.291,0.183,0.377
0021200041,1610612765,Pistons,DET,Detroit,240:00,0.38,0.291,0.183,0.245,0.584,0.338,0.172,0.415
0021200042,1610612755,76ers,PHI,Philadelphia,240:00,0.384,0.302,0.142,0.328,0.542,0.226,0.077,0.222
0021200042,1610612752,Knicks,NYK,New York,240:00,0.542,0.226,0.077,0.2,0.384,0.302,0.142,0.345
0021200043,1610612750,Timberwolves,MIN,Minnesota,240:00,0.54,0.17,0.123,0.356,0.568,0.247,0.171,0.268
0021200043,1610612751,Nets,BKN,Brooklyn,240:00,0.568,0.247,0.171,0.195,0.54,0.17,0.123,0.467
0021200044,1610612756,Suns,PHX,Phoenix,240:00,0.438,0.33,0.117,0.175,0.634,0.221,0.147,0.2
0021200044,1610612748,Heat,MIA,Miami,240:00,0.634,0.221,0.147,0.175,0.438,0.33,0.117,0.228
0021200045,1610612762,Jazz,UTA,Utah,240:00,0.472,0.144,0.15,0.212,0.445,0.275,0.12,0.358
0021200045,1610612763,Grizzlies,MEM,Memphis,240:00,0.445,0.275,0.12,0.264,0.472,0.144,0.15,0.288
0021200046,1610612757,Trail Blazers,POR,Portland,240:00,0.414,0.194,0.143,0.383,0.679,0.167,0.099,0.152
0021200046,1610612742,Mavericks,DAL,Dallas,240:00,0.679,0.167,0.099,0.061,0.414,0.194,0.143,0.4
0021200047,1610612759,Spurs,SAS,San Antonio,240:00,0.517,0.149,0.089,0.234,0.38,0.278,0.21,0.37
0021200047,1610612754,Pacers,IND,Indiana,240:00,0.38,0.278,0.21,0.315,0.517,0.149,0.089,0.277
0021200048,1610612758,Kings,SAC,Sacramento,240:00,0.481,0.284,0.147,0.208,0.436,0.359,0.135,0.265
0021200048,1610612744,Warriors,GSW,Golden State,240:00,0.436,0.359,0.135,0.143,0.481,0.284,0.147,0.271
0021200049,1610612746,Clippers,LAC,Los Angeles,240:00,0.588,0.216,0.258,0.243,0.511,0.239,0.185,0.455
0021200049,1610612739,Cavaliers,CLE,Cleveland,240:00,0.511,0.239,0.185,0.327,0.588,0.216,0.258,0.27
0021200050,1610612753,Magic,ORL,Orlando,240:00,0.465,0.198,0.127,0.208,0.488,0.286,0.095,0.292
0021200050,1610612741,Bulls,CHI,Chicago,240:00,0.488,0.286,0.095,0.188,0.465,0.198,0.127,0.283
0021200051,1610612761,Raptors,TOR,Toronto,240:00,0.399,0.298,0.163,0.145,0.534,0.459,0.188,0.244
0021200051,1610612760,Thunder,OKC,Oklahoma City,240:00,0.534,0.459,0.188,0.171,0.399,0.298,0.163,0.218
0021200052,1610612765,Pistons,DET,Detroit,240:00,0.487,0.321,0.156,0.174,0.5,0.239,0.157,0.444
0021200052,1610612743,Nuggets,DEN,Denver,240:00,0.5,0.239,0.157,0.389,0.487,0.321,0.156,0.304
0021200053,1610612756,Suns,PHX,Phoenix,240:00,0.527,0.301,0.126,0.407,0.494,0.31,0.134,0.347
0021200053,1610612766,Bobcats,CHA,Charlotte,240:00,0.494,0.31,0.134,0.306,0.527,0.301,0.126,0.444
0021200054,1610612764,Wizards,WAS,Washington,265:00,0.463,0.074,0.185,0.175,0.444,0.42,0.174,0.28
0021200054,1610612738,Celtics,BOS,Boston,265:00,0.444,0.42,0.174,0.12,0.463,0.074,0.185,0.246
0021200055,1610612754,Pacers,IND,Indiana,240:00,0.459,0.106,0.161,0.216,0.477,0.138,0.184,0.392
0021200055,1610612737,Hawks,ATL,Atlanta,240:00,0.477,0.138,0.184,0.333,0.459,0.106,0.161,0.294
0021200056,1610612748,Heat,MIA,Miami,240:00,0.584,0.208,0.136,0.216,0.394,0.213,0.203,0.37
0021200056,1610612751,Nets,BKN,Brooklyn,240:00,0.394,0.213,0.203,0.241,0.584,0.208,0.136,0.243
0021200057,1610612749,Bucks,MIL,Milwaukee,240:00,0.418,0.231,0.106,0.262,0.566,0.229,0.148,0.366
0021200057,1610612763,Grizzlies,MEM,Memphis,240:00,0.566,0.229,0.148,0.268,0.418,0.231,0.106,0.344
0021200058,1610612755,76ers,PHI,Philadelphia,240:00,0.44,0.06,0.163,0.18,0.362,0.232,0.27,0.255
0021200058,1610612740,Hornets,NOH,New Orleans,240:00,0.362,0.232,0.27,0.234,0.44,0.06,0.163,0.26
0021200059,1610612745,Rockets,HOU,Houston,240:00,0.417,0.274,0.204,0.281,0.494,0.256,0.226,0.388
0021200059,1610612743,Nuggets,DEN,Denver,240:00,0.494,0.256,0.226,0.327,0.417,0.274,0.204,0.351
0021200060,1610612753,Magic,ORL,Orlando,240:00,0.369,0.25,0.207,0.226,0.493,0.289,0.216,0.326
0021200060,1610612750,Timberwolves,MIN,Minnesota,240:00,0.493,0.289,0.216,0.283,0.369,0.25,0.207,0.321
0021200061,1610612761,Raptors,TOR,Toronto,240:00,0.475,0.383,0.106,0.213,0.512,0.417,0.126,0.375
0021200061,1610612742,Mavericks,DAL,Dallas,240:00,0.512,0.417,0.126,0.333,0.475,0.383,0.106,0.319
0021200062,1610612762,Jazz,UTA,Utah,240:00,0.476,0.217,0.128,0.188,0.365,0.622,0.193,0.375
0021200062,1610612747,Lakers,LAL,Los Angeles,240:00,0.365,0.622,0.193,0.268,0.476,0.217,0.128,0.208
0021200063,1610612758,Kings,SAC,Sacramento,240:00,0.53,0.293,0.16,0.318,0.548,0.425,0.182,0.302
0021200063,1610612765,Pistons,DET,Detroit,240:00,0.548,0.425,0.182,0.233,0.53,0.293,0.16,0.386
0021200064,1610612759,Spurs,SAS,San Antonio,240:00,0.466,0.329,0.205,0.125,0.59,0.108,0.161,0.263
0021200064,1610612746,Clippers,LAC,Los Angeles,240:00,0.59,0.108,0.161,0.237,0.466,0.329,0.205,0.208
0021200065,1610612744,Warriors,GSW,Golden State,240:00,0.571,0.295,0.173,0.184,0.483,0.244,0.16,0.291
0021200065,1610612739,Cavaliers,CLE,Cleveland,240:00,0.483,0.244,0.16,0.2,0.571,0.295,0.173,0.211
0021200066,1610612760,Thunder,OKC,Oklahoma City,240:00,0.527,0.288,0.229,0.216,0.446,0.214,0.208,0.353
0021200066,1610612741,Bulls,CHI,Chicago,240:00,0.446,0.214,0.208,0.235,0.527,0.288,0.229,0.216
0021200067,1610612757,Trail Blazers,POR,Portland,240:00,0.473,0.4,0.141,0.18,0.552,0.325,0.152,0.359
0021200067,1610612746,Clippers,LAC,Los Angeles,240:00,0.552,0.325,0.152,0.256,0.473,0.4,0.141,0.24
0021200068,1610612764,Wizards,WAS,Washington,240:00,0.462,0.282,0.205,0.217,0.551,0.244,0.207,0.282
0021200068,1610612749,Bucks,MIL,Milwaukee,240:00,0.551,0.244,0.207,0.154,0.462,0.282,0.205,0.261
0021200069,1610612753,Magic,ORL,Orlando,240:00,0.457,0.114,0.213,0.171,0.555,0.305,0.124,0.383
0021200069,1610612751,Nets,BKN,Brooklyn,240:00,0.555,0.305,0.124,0.319,0.457,0.114,0.213,0.171
0021200070,1610612755,76ers,PHI,Philadelphia,240:00,0.53,0.28,0.16,0.182,0.513,0.408,0.145,0.225
0021200070,1610612738,Celtics,BOS,Boston,240:00,0.513,0.408,0.145,0.175,0.53,0.28,0.16,0.341
0021200071,1610612752,Knicks,NYK,New York,240:00,0.464,0.452,0.091,0.2,0.457,0.284,0.196,0.3
0021200071,1610612742,Mavericks,DAL,Dallas,240:00,0.457,0.284,0.196,0.18,0.464,0.452,0.091,0.255
0021200072,1610612748,Heat,MIA,Miami,240:00,0.533,0.211,0.167,0.195,0.475,0.198,0.138,0.286
0021200072,1610612737,Hawks,ATL,Atlanta,240:00,0.475,0.198,0.138,0.143,0.533,0.211,0.167,0.293
0021200073,1610612763,Grizzlies,MEM,Memphis,240:00,0.404,0.245,0.095,0.295,0.467,0.197,0.211,0.356
0021200073,1610612745,Rockets,HOU,Houston,240:00,0.467,0.197,0.211,0.178,0.404,0.245,0.095,0.41
0021200074,1610612740,Hornets,NOH,New Orleans,240:00,0.566,0.253,0.102,0.31,0.524,0.217,0.136,0.37
0021200074,1610612766,Bobcats,CHA,Charlotte,240:00,0.524,0.217,0.136,0.326,0.566,0.253,0.102,0.357
0021200075,1610612760,Thunder,OKC,Oklahoma City,240:00,0.592,0.366,0.186,0.222,0.448,0.253,0.157,0.377
0021200075,1610612765,Pistons,DET,Detroit,240:00,0.448,0.253,0.157,0.302,0.592,0.366,0.186,0.222
0021200076,1610612750,Timberwolves,MIN,Minnesota,240:00,0.514,0.4,0.171,0.135,0.47,0.202,0.139,0.313
0021200076,1610612754,Pacers,IND,Indiana,240:00,0.47,0.202,0.139,0.229,0.514,0.4,0.171,0.243
0021200077,1610612756,Suns,PHX,Phoenix,240:00,0.506,0.407,0.169,0.261,0.539,0.351,0.208,0.302
0021200077,1610612739,Cavaliers,CLE,Cleveland,240:00,0.539,0.351,0.208,0.209,0.506,0.407,0.169,0.304
0021200078,1610612759,Spurs,SAS,San Antonio,240:00,0.521,0.361,0.207,0.175,0.368,0.286,0.112,0.328
0021200078,1610612758,Kings,SAC,Sacramento,240:00,0.368,0.286,0.112,0.234,0.521,0.361,0.207,0.275
0021200079,1610612762,Jazz,UTA,Utah,240:00,0.391,0.253,0.179,0.241,0.467,0.272,0.118,0.352
0021200079,1610612743,Nuggets,DEN,Denver,240:00,0.467,0.272,0.118,0.241,0.391,0.253,0.179,0.276
0021200080,1610612747,Lakers,LAL,Los Angeles,240:00,0.444,0.311,0.156,0.276,0.378,0.233,0.188,0.279
0021200080,1610612744,Warriors,GSW,Golden State,240:00,0.378,0.233,0.188,0.213,0.444,0.311,0.156,0.362
0021200081,1610612761,Raptors,TOR,Toronto,240:00,0.456,0.203,0.141,0.137,0.507,0.342,0.167,0.256
0021200081,1610612755,76ers,PHI,Philadelphia,240:00,0.507,0.342,0.167,0.209,0.456,0.203,0.141,0.196
0021200082,1610612764,Wizards,WAS,Washington,240:00,0.506,0.089,0.135,0.111,0.469,0.3,0.145,0.327
0021200082,1610612754,Pacers,IND,Indiana,240:00,0.469,0.3,0.145,0.269,0.506,0.089,0.135,0.2
