gids
0021200241
0021400007
0021400311
0021300204
0021800079
0021200950
0021700330
0021300462
0021201019
0021500307
0021200866
0021200287
0021500532
0021200675
0021401227
0021300243
0021500003
0021301174
0021700239
0021701144
0021700143
0021400409
0021800552
0021500767
0021400871
0021700598
0021400755
0021500545
0021200837
0021400107
0021701230
0021700951
0021301036
0021700380
0021700622
0021700108
0021700847
0021701142
0021800804
0021500447
0021401189
0021300802
0021500765
0021201165
0021700123
0021400857
0021200828
0021200568
0021301144
0021700888
0021200767
0021300763
0021300919
0021300181
0021500854
0021800141
0021200008
0021800893
0021801144
0021201080
0021800945
0021700394
0021300326
0021801196
0021700092
0021700495
0021500730
0021500777
0021700945
0021700102
0021300096
0021500968
0021500279
0021800319
0021400255
0021500303
0021500363
0021501209
0021500845
0021400364
0021300502
0021700160
0021500107
0021300191
0021500173
0021801040
0021800380
0021401182
0021500257
0021700099
0021800715
0021200299
0021500235
0021501011
0021400485
0021300934
0021200677
0021200587
0021200327
0021700717
0021400403
0021500781
0021700085
0021400273
0021200713
0021700271
0021300519
0021800536
0021300689
0021201009
0021300770
0021300935
0021500763
0021400914
0021400876
0021400280
0021201028
0021400580
0021300711
0021700191
0021500733
0021500751
0021801115
0021500703
0021301001
0021800279
0021800340
0021700401
0021300884
0021500996
0021301182
0021300690
0021200749
0021500790
0021500806
0021300504
0021700087
0021400424
0021200474
0021700141
0021400537
0021500926
0021701212
0021200456
0021800180
0021500157
0021200476
0021700924
0021801036
0021301225
0021200695
0021200448
0021501177
0021200040
0021300923
0021801128
0021800052
0021400666
0021200212
0021200209
0021201190
0021501008
0021300724
0021800670
0021200256
0021801088
0021500054
0021700967
0021801102
0021500970
0021400150
0021200348
0021201180
0021500553
0021400674
0021700851
0021500040
0021400244
0021701216
0021500943
0021800002
0021500975
0021701218
0021700488
0021801083
0021201041
0021300915
0021400992
0021700193
0021700443
0021700062
0021200269
0021300842
0021200076
0021200788
0021800931
0021700630
0021400269
0021800464
0021401068
0021300761
0021800240
0021801078
0021800522
0021201219
0021700900
0021200113
0021700178
0021700382
0021300483
0021200651
0021400169
0021501005
0021801204
0021500755
0021700104
0021200929
0021800578
0021201021
0021500710
0021400739
0021200367
0021500137
0021700887
0021300561
0021300015
0021200323
0021200497
0021501084
0021400395
0021200452
0021800241
0021700530
0021800272
0021501163
0021800836
0021300557
0021400387
0021501097
0021500144
0021301037
0021700730
0021800074
0021400653
0021300578
0021300832
0021300050
0021300464
0021501196
0021200201
0021400383
0021500581
0021801139
0021201092
0021500074
0021400050
0021400390
0021400786
0021201031
0021201133
0021301118
0021800829
0021800020
0021200443
0021700623
0021701024
0021700185
0021400069
0021400179
0021400203
0021200183
0021500613
0021300949
0021200122
0021801222
0021500449
0021401140
0021700390
0021200926
0021700251
0021200977
0021700269
0021500855
0021400629
0021700256
0021801030
0021300443
0021800685
0021300851
0021700171
0021200477
0021500502
0021501149
0021400969
0021500306
0021800777
0021300853
0021801044
0021301011
0021400448
0021400369
0021800738
0021400213
0021500810
0021400776
0021500538
0021800122
0021400319
0021200382
0021200704
0021701215
0021700419
0021300296
0021301044
